"AttributeName","Consistency","ValueIDS","RecordIDS","Values","FusedValue","IsCorrect","CorrectValue"
"Company name","1.0","Company name-{DBPedia_7571+Forbes_792+SBTI_1622}","DBPedia_7571+Forbes_792+SBTI_1622","{Eiffage|Eiffage|Eiffage}","Eiffage",,
"Company name","1.0","Company name-{DBPedia_936+SBTI_447}","DBPedia_936+SBTI_447","{Assystem|ASSYSTEM}","Assystem",,
"Company name","0.0","Company name-{Forbes_867+SBTI_590}","Forbes_867+SBTI_590","{Bank of Ireland|Bank of Ireland Group}","Bank of Ireland",,
"Company name","1.0","Company name-{DBPedia_9631+Forbes_640}","DBPedia_9631+Forbes_640","{Formosa Petrochemical|Formosa Petrochemical}","Formosa Petrochemical",,
"Company name","1.0","Company name-{Forbes_1351+SBTI_4952}","Forbes_1351+SBTI_4952","{Smurfit Kappa Group|Smurfit Kappa Group}","Smurfit Kappa Group",,
"Company name","1.0","Company name-{DBPedia_872+Forbes_56}","DBPedia_872+Forbes_56","{Sony|Sony}","Sony",,
"Company name","0.0","Company name-{DBPedia_5037+Forbes_417}","DBPedia_5037+Forbes_417","{RWS Group|RWE Group}","RWE Group",,
"Company name","1.0","Company name-{DBPedia_3102+Forbes_426+SBTI_2994}","DBPedia_3102+Forbes_426+SBTI_2994","{Keurig Dr Pepper|Keurig Dr Pepper|Keurig Dr Pepper}","Keurig Dr Pepper",,
"Company name","1.0","Company name-{DBPedia_4507+SBTI_913}","DBPedia_4507+SBTI_913","{Canfor|Canfor}","Canfor",,
"Company name","1.0","Company name-{DBPedia_7904+SBTI_5387}","DBPedia_7904+SBTI_5387","{The Economist Group|The Economist Group}","The Economist Group",,
"Company name","1.0","Company name-{DBPedia_9789+SBTI_4431}","DBPedia_9789+SBTI_4431","{Real Chemistry|Real Chemistry}","Real Chemistry",,
"Company name","0.0","Company name-{DBPedia_1338+SBTI_4637}","DBPedia_1338+SBTI_4637","{Saks, Inc.|Samsara Inc.}","Saks, Inc.",,
"Company name","1.0","Company name-{DBPedia_2281+Forbes_100}","DBPedia_2281+Forbes_100","{United Parcel Service|United Parcel Service}","United Parcel Service",,
"Company name","1.0","Company name-{DBPedia_1387+Forbes_1935}","DBPedia_1387+Forbes_1935","{Genmab|Genmab}","Genmab",,
"Company name","1.0","Company name-{DBPedia_8052+Forbes_403}","DBPedia_8052+Forbes_403","{Jardine Matheson|Jardine Matheson}","Jardine Matheson",,
"Company name","0.0","Company name-{DBPedia_9776+SBTI_1494}","DBPedia_9776+SBTI_1494","{Domino's Pizza Group|Domino's Pizza Group plc}","Domino's Pizza Group",,
"Company name","1.0","Company name-{DBPedia_3817+SBTI_858}","DBPedia_3817+SBTI_858","{Bureau Veritas|BUREAU VERITAS}","Bureau Veritas",,
"Company name","1.0","Company name-{DBPedia_1613+Forbes_502}","DBPedia_1613+Forbes_502","{Aviva|Aviva}","Aviva",,
"Company name","1.0","Company name-{DBPedia_867+SBTI_5635}","DBPedia_867+SBTI_5635","{TUI Group|TUI Group}","TUI Group",,
