UID,company,label,industries,keyPeople,founders,hqLocationCountry,revenue,assets,netIncome,foundingYear,type,keyPeopleFoundersCombined
DBPedia_430,http://dbpedia.org/resource/Auto-Owners_Insurance,Auto-Owners Insurance,Insurance,Jamie Whisnant,,,10000000000,32500000000.0,1300000000.0,1916.0,Mutual insurance,Jamie Whisnant
DBPedia_431,http://dbpedia.org/resource/Bambi_(company),Bambi (company),Brand,Dragan Stajković,,,73810007,143259453.0,15045813.0,1967.0,Joint-stock company,Dragan Stajković
DBPedia_432,http://dbpedia.org/resource/Banco_Itaú_Chile,Banco Itaú Chile,Finance and Insurance,"Boris Buvinic,",,,436600000,11300000000.0,81900000.0,2006.0,Subsidiary,"Boris Buvinic,"
DBPedia_433,http://dbpedia.org/resource/Bancolombia,Bancolombia,Financial services,"Juan Carlos Mora Uribe,",,,10500000000,4800000000.0,995000000.0,1875.0,S.A. (corporation),"Juan Carlos Mora Uribe,"
DBPedia_434,http://dbpedia.org/resource/Bank_Leumi,Bank Leumi,Banking,"Dr. Samer Haj-Yehia, Hanan Friedman",,,3900000000,113960000000.0,727100000.0,1902.0,Public company,"Dr. Samer Haj-Yehia, Hanan Friedman"
DBPedia_435,http://dbpedia.org/resource/Brookfield_Infrastructure_Partners,Brookfield Infrastructure Partners,Infrastructure asset management,Sam Pollock,,,3540000000,29500000000.0,574000000.0,2008.0,Master limited partnership,Sam Pollock
DBPedia_436,http://dbpedia.org/resource/Toto_Ltd.,Toto Ltd.,"Ceramic, Manufacturing","Kunio Harimoto, Madoka Kitamura, Noriaki Kiyota, Nozomu Morimura",,,573819,553996.0,33839.0,1917.0,Public company,"Kunio Harimoto, Madoka Kitamura, Noriaki Kiyota, Nozomu Morimura"
DBPedia_437,http://dbpedia.org/resource/A1_Srbija,A1 Srbija,Telecommunications industry,"Dejan Turk, Milan Zaletel, Nenad Zeljković, Đorđe Vuksanović",,,296311372,434646400.0,37872972.0,2007.0,D.o.o.,"Dejan Turk, Milan Zaletel, Nenad Zeljković, Đorđe Vuksanović"
DBPedia_438,http://dbpedia.org/resource/Acme_United_Corporation,Acme United Corporation,Consumer products,"Brian S. Olschan, Paul G. Driscoll, Walter C. Johnsen",,,182100000,144400000.0,10100000.0,1867.0,Public company,"Brian S. Olschan, Paul G. Driscoll, Walter C. Johnsen"
DBPedia_439,http://dbpedia.org/resource/Albemarle_Corporation,Albemarle Corporation,Chemical industry,"Kent Masters, President & CEOScott A. Tozier, CFO",,,3330000000,10970000000.0,124000000.0,1994.0,Public company,"Kent Masters, President & CEOScott A. Tozier, CFO"
DBPedia_440,http://dbpedia.org/resource/Burelle,Burelle,,Jean Burelle,,,3965854720,2687759360.0,99616256.0,1957.0,Société anonyme,Jean Burelle
DBPedia_441,http://dbpedia.org/resource/CDI_Corporation,CDI Corporation,,"M. Stephen Karlovic, President & CEO",,,985000000,339097000.0,-37003000.0,1950.0,Private company,"M. Stephen Karlovic, President & CEO"
DBPedia_442,http://dbpedia.org/resource/WEX_Inc.,WEX Inc.,,"Melissa D. Smith, Michael E. Dubyak, Roberto Simon",,,1540000000,6739000000.0,160270000.0,1983.0,Public company,"Melissa D. Smith, Michael E. Dubyak, Roberto Simon"
DBPedia_443,http://dbpedia.org/resource/Aeroflex,Aeroflex,,"Harvey R. Blau, Jordie Jordan",,,655000000,1360000000.0,-12200000.0,1937.0,Public company,"Harvey R. Blau, Jordie Jordan"
DBPedia_444,http://dbpedia.org/resource/Aerojet_Rocketdyne_Holdings,Aerojet Rocketdyne Holdings,,Eileen Drake,,,1760000000,2250000000.0,18000000.0,1915.0,Public company,Eileen Drake
DBPedia_445,http://dbpedia.org/resource/AerCap,AerCap,Aircraft lease,,,,5224000000,74569000000.0,1009000000.0,2006.0,Public company,
DBPedia_446,http://dbpedia.org/resource/Dai-ichi_Life,Dai-ichi Life,Insurance,,,,5280000000000,346900000000.0,32400000000.0,2010.0,Kabushiki gaisha,
